id,age,sex,salary,height cms,weight kgs
1,56,F,55771.57,199,111
2,47,F,184702.39,159,57
3,46,F,124913.54,240,75
4,50,F,128943.22,218,215
5,34,M,157684.16,166,95
6,39,M,184401.15,176,216
7,43,F,84883.62,199,85
8,64,F,62004.63,124,54
9,29,M,74470.49,237,254
10,68,F,64143.4,131,207
11,46,F,50213.35,203,68
12,30,F,155042.11,248,190
13,44,F,55787.95,134,202
14,68,F,84958.22,207,152
15,31,M,198566.92,163,122
16,43,M,91136.3,194,233
17,44,M,97539.34,243,119
18,66,F,154847.86,205,156
19,69,M,65905.94,229,290
20,66,F,62912.06,200,230
21,55,M,20715.47,229,85
22,68,F,199859.17,249,81
23,20,M,147524.49,127,62
24,65,M,25523.19,159,210
25,40,M,156799.35,127,203
26,62,M,24303.03,161,199
27,31,F,173384.97,204,151
28,63,M,44485.68,162,185
29,45,M,131055.4,185,281
30,60,F,96109.67,241,252
31,41,F,98059.32,179,96
32,57,M,77925.53,234,142
33,56,M,31144.59,195,91
34,53,M,97208.66,133,139
35,52,F,144626.4,181,144
36,63,F,141583.06,153,117
37,42,F,43195.76,190,290
38,47,F,89489.06,218,230
39,47,F,181237.47,202,215
40,53,M,52294.9,220,93
41,65,F,27232.15,227,270
42,30,F,56930.23,146,263
43,21,F,55758.38,185,136
44,26,M,139430.9,236,145
45,53,M,180331.25,223,168
46,31,F,104832.54,153,54
47,29,M,187072.63,140,211
48,35,M,124124.41,197,142
49,62,F,84917.52,139,76
50,42,F,190726.32,234,294
51,36,M,188400.4,166,254
52,59,F,15335.42,209,257
53,47,F,89364.54,129,65
54,35,M,50069.86,216,250
55,45,F,144899.0,233,209
56,66,M,26068.93,124,60
57,55,F,140754.49,220,300
58,63,M,71192.66,230,89
59,28,M,180267.2,137,140
60,49,M,99314.01,141,281
61,18,M,39152.74,141,122
62,54,F,102828.72,212,249
63,29,M,21012.07,237,65
64,40,F,54936.17,198,277
65,40,M,133610.43,177,64
66,56,M,82651.81,207,134
67,25,M,156630.78,183,211
68,67,M,109194.32,177,118
69,46,F,19501.97,233,200
70,27,F,121456.73,231,213
71,34,M,100150.75,128,214
72,58,M,35089.38,196,293
73,48,M,95190.31,210,127
74,69,M,122082.03,188,293
75,52,M,122424.21,164,79
76,63,F,194523.75,195,119
77,39,M,113858.1,184,137
78,27,F,151945.65,203,121
79,61,F,101713.1,154,295
80,25,F,37326.39,205,63
81,62,F,153436.62,241,81
82,32,F,107845.54,238,271
83,19,F,168507.31,206,131
84,23,M,22051.95,159,171
85,56,F,83190.69,201,84
86,60,F,67746.0,174,210
87,46,F,197443.35,121,76
88,64,F,146474.15,138,190
89,23,M,70796.64,176,69
90,32,F,89947.78,142,51
91,20,M,50953.32,171,263
92,53,F,185223.58,155,188
93,33,F,101015.82,174,283
94,44,F,185378.74,230,208
95,21,F,28813.37,154,138
96,22,F,28218.47,144,260
97,37,F,95076.37,215,188
98,66,M,73050.15,140,94
99,45,M,101703.28,179,256
100,45,F,117035.46,180,65
101,49,M,184587.65,248,225
102,56,F,66842.0,135,296
103,31,F,199789.57,212,195
104,53,F,70629.66,244,261
105,51,F,17432.42,137,145
106,24,M,140415.55,180,295
107,52,F,162211.72,149,57
108,47,F,150069.15,163,249
109,59,F,28984.11,138,139
110,23,M,48549.3,131,193
111,41,M,181758.68,234,51
112,39,M,154377.62,199,207
113,55,M,36947.59,236,135
114,51,M,30836.76,133,270
115,55,M,133096.67,127,118
116,50,F,118088.67,225,206
117,23,F,144320.0,214,97
118,49,F,97353.69,248,279
119,47,M,178730.17,247,248
120,54,F,18552.21,248,105
121,49,F,99876.68,127,60
122,63,F,140589.54,124,209
123,26,M,177444.27,203,65
124,68,M,56227.0,175,232
125,68,F,119239.26,160,160
126,63,M,186140.49,131,51
127,27,F,136416.6,223,270
128,24,F,97329.4,158,52
129,59,M,125023.11,228,114
130,33,M,17396.26,146,235
131,23,F,71554.86,179,96
132,50,F,72509.96,219,238
133,45,F,79812.85,185,285
134,51,M,100975.17,127,194
135,42,M,199248.25,141,219
136,37,M,24888.7,178,159
137,47,M,115809.99,136,262
138,68,F,77240.01,125,275
139,42,M,76499.06,201,223
140,59,F,77195.35,233,171
141,50,M,80306.3,218,118
142,55,M,73444.61,177,236
143,29,F,130850.3,201,207
144,29,F,57149.19,250,216
145,33,M,49470.58,140,219
146,25,M,147743.44,216,154
147,25,M,43127.58,232,222
148,61,M,186394.45,250,161
149,58,M,198117.08,209,64
150,23,F,28277.94,144,178
